,time,neu,neu_clean,pos,pos_clean,neg,neg_clean,com,com_clean,close,high,low,open,volumefrom,volumeto,price_delta,delta_bool
43,2019-07-26 09:00:00,0.8666024590163934,0.7502786885245902,0.09681557377049181,0.18312704918032788,0.03658811475409833,0.06659426229508197,0.12790307377049184,0.12535778688524585,9802.7,9811.55,9772.29,9798.61,901.45,8832399.04,4.0900000000001455,1
44,2019-07-26 10:00:00,0.8627220248667847,0.7302158081705143,0.09954529307282427,0.19675399644760241,0.03772957371225573,0.07303330373001778,0.13867628774422736,0.13840319715808186,9777.96,9811.33,9760.97,9802.7,758.16,7427314.41,-24.7400000000016,0
45,2019-07-26 11:00:00,0.8707779479326188,0.7481209800918829,0.0908131699846861,0.18050842266462488,0.038407350689127116,0.07137978560490044,0.11352679938744245,0.1015162327718222,9808.45,9826.67,9777.29,9777.96,1055.17,10361765.34,30.4900000000016,1
47,2019-07-26 13:00:00,0.8407582911748186,0.6953479482855534,0.11842102304665526,0.23622878021360333,0.04081562675660484,0.06842945474985945,0.18930933108487927,0.19259887577290613,9789.67,9807.87,9740.04,9789.03,1406.14,13755125.48,0.6399999999994179,1
48,2019-07-26 14:00:00,0.8459079651941113,0.704273761713521,0.11632530120481921,0.22427476572958532,0.037772088353413676,0.07145749665327975,0.18493319946452472,0.1709823293172694,9785.06,9798.48,9720.89,9789.67,2368.79,23122065.53,-4.610000000000582,0
49,2019-07-26 15:00:00,0.844951535836177,0.7027750853242316,0.11698225255972691,0.2315784982935158,0.03806484641638223,0.06564880546075079,0.1803880546075088,0.17903215017064858,9799.51,9814.35,9772.09,9785.06,984.76,9649858.54,14.450000000000728,1
50,2019-07-26 16:00:00,0.7926536111389328,0.644081638785935,0.1612446158469398,0.2821762997095092,0.046101171992387155,0.07374346388861058,0.21552032455173628,0.19783318641690917,9816.36,9890.05,9778.91,9799.51,1822.31,17923276.66,16.850000000000364,1
51,2019-07-26 17:00:00,0.8002614264919904,0.6493244541484652,0.15205662299854425,0.27124949053857433,0.047680786026200815,0.07942867540029129,0.20660759825327527,0.19024646288209543,9793.41,9827.75,9765.2,9816.36,1244.08,12187311.49,-22.950000000000728,0
52,2019-07-26 18:00:00,0.8066106519742883,0.65120789715335,0.14783728191000942,0.27183783287419694,0.045548760330578454,0.07695629017447203,0.2106607346189158,0.19947089072543636,9833.74,9862.38,9792.51,9793.41,983.98,9671903.65,40.32999999999993,1
53,2019-07-26 19:00:00,0.799530737299861,0.6469017592409532,0.15495394346708793,0.2761144494959477,0.045515912235619745,0.07698557027080462,0.22069675825261859,0.20029897212887923,9866.38,9888.5,9828.33,9833.74,1710.4,16875250.28,32.63999999999942,1
