Series,Time,Value
Fees in satoshis / TX,2019-06-20T11:10:00.000Z,29484.977499946155
Fees in satoshis / TX,2019-06-20T12:00:00.000Z,34816.85342421271
Fees in satoshis / TX,2019-06-20T12:50:00.000Z,42505.85845065887
Fees in satoshis / TX,2019-06-20T13:40:00.000Z,41532.12727907231
Fees in satoshis / TX,2019-06-20T14:30:00.000Z,36925.97072279057
Fees in satoshis / TX,2019-06-20T15:20:00.000Z,34560.19357783203
Fees in satoshis / TX,2019-06-20T16:10:00.000Z,35597.25310355026
Fees in satoshis / TX,2019-06-20T17:00:00.000Z,29732.499513380113
Fees in satoshis / TX,2019-06-20T17:50:00.000Z,34722.76966523066
Fees in satoshis / TX,2019-06-20T18:40:00.000Z,30654.26187549241
Fees in satoshis / TX,2019-06-20T19:30:00.000Z,33393.61540468764
Fees in satoshis / TX,2019-06-20T20:20:00.000Z,30160.783407558618
Fees in satoshis / TX,2019-06-20T21:10:00.000Z,39501.76547770258
Fees in satoshis / TX,2019-06-20T22:00:00.000Z,34746.492546376336
Fees in satoshis / TX,2019-06-20T22:50:00.000Z,27962.830310742174
Fees in satoshis / TX,2019-06-20T23:40:00.000Z,32614.662356287135
Fees in satoshis / TX,2019-06-21T00:30:00.000Z,30712.415580804372
Fees in satoshis / TX,2019-06-21T01:20:00.000Z,37701.099396961894
Fees in satoshis / TX,2019-06-21T02:10:00.000Z,35139.130205703674
Fees in satoshis / TX,2019-06-21T03:00:00.000Z,39325.61634868041
Fees in satoshis / TX,2019-06-21T03:50:00.000Z,37188.98474812815
Fees in satoshis / TX,2019-06-21T04:40:00.000Z,38153.266819717406
Fees in satoshis / TX,2019-06-21T05:30:00.000Z,36517.82843675352
Fees in satoshis / TX,2019-06-21T06:20:00.000Z,36157.50307953272
Fees in satoshis / TX,2019-06-21T07:10:00.000Z,33926.46127569715
Fees in satoshis / TX,2019-06-21T08:00:00.000Z,38550.20671119461
Fees in satoshis / TX,2019-06-21T08:50:00.000Z,43641.153892464754
Fees in satoshis / TX,2019-06-21T09:40:00.000Z,35501.15728004161
Fees in satoshis / TX,2019-06-21T10:30:00.000Z,32365.72485091385
Fees in satoshis / TX,2019-06-21T11:20:00.000Z,31749.68397614424
Fees in satoshis / TX,2019-06-21T12:10:00.000Z,40916.28752899004
Fees in satoshis / TX,2019-06-21T13:00:00.000Z,37041.592222313884
Fees in satoshis / TX,2019-06-21T13:50:00.000Z,37783.867374868496
Fees in satoshis / TX,2019-06-21T14:40:00.000Z,33277.75656898929
Fees in satoshis / TX,2019-06-21T15:30:00.000Z,37201.23336157748
Fees in satoshis / TX,2019-06-21T16:20:00.000Z,32050.072579542833
Fees in satoshis / TX,2019-06-21T17:10:00.000Z,30427.87062171939
Fees in satoshis / TX,2019-06-21T18:00:00.000Z,33546.36164024343
Fees in satoshis / TX,2019-06-21T18:50:00.000Z,43572.41113312948
Fees in satoshis / TX,2019-06-21T19:40:00.000Z,33191.019978211625
Fees in satoshis / TX,2019-06-21T20:30:00.000Z,32387.5774125768
Fees in satoshis / TX,2019-06-21T21:20:00.000Z,30344.802502181905
Fees in satoshis / TX,2019-06-21T22:10:00.000Z,30035.371122413566
Fees in satoshis / TX,2019-06-21T23:00:00.000Z,30771.40771609928
Fees in satoshis / TX,2019-06-21T23:50:00.000Z,30724.579699855192
Fees in satoshis / TX,2019-06-22T00:40:00.000Z,32195.32122139777
Fees in satoshis / TX,2019-06-22T01:30:00.000Z,38260.61342315942
